ETM route num,Start,Via,End,Bus Type,Start code,Via code,End code,Binding ID,TARA ID,Include,Type,Stages,Route type,Route code,Route No.,Routes to be added,265,ETM routes,Routes to be removed,,,
mrg38,MARGAO,LTL,PANJIM,ORDINARY,MRG,LTL,PNJ,#N/A,#N/A,Y,O,19,,MRG-LTL-PNJ,mrg38,,,,,,,
mrg39,MARGAO,CORTALIM,PANJIM,SHUTTLE,MRG,CRT,PNJ,#N/A,#N/A,Y,S,2,S,S:MRG-CRT-PNJ,mrg39,,,,,,,
mrg4,MARGAO,BELGAUM,KOLHAPUR,EXPRESS,MRG,BGM,KLPR,#N/A,#N/A,Y,IS,21,X,X:MRG-BGM-KLPR,mrg4,,,,,,,
mrg40,CURCHOREM,RIVONA,SALJINI,ORDINARY,CURCH,RVN,SLJN,#N/A,#N/A,Y,O,17,,CURCH-RVN-SLJN,mrg40,,,,,,,
mrg41,CANACONA,CAJUMOL,POPAIDANDA,ORDINARY,CNC,CJML,P'DANDO,#N/A,#N/A,Y,O,12,,CNC-CJML-P'DANDO,mrg41,,,,,,,
mrg42,MARGAO,ZUARI NAGAR,VASCO,SHUTTLE,MRG,ZNGR,VSD,#N/A,#N/A,Y,S,2,S,S:MRG-ZNGR-VSD,mrg42,,,,,,,
mrg43,MARGAO,ZUARI NAGER,VASCO,ORDINARY,MRG,,VSD,#N/A,#N/A,Y,O,17,,MRG--VSD,mrg43,,,,,,,
mrg44,MARGAO,CANACONA,POPAIDANDO,ORDINARY,MRG,CNC,P'DANDO,#N/A,#N/A,Y,O,23,,MRG-CNC-P'DANDO,mrg44,,,,,,,
mrg45,MARGAO,KEPEM,CURCHOREM,ORDINARY,MRG,QPM,CURCH,#N/A,#N/A,Y,O,13,,MRG-QPM-CURCH,mrg45,,,,,,,
mrg46,TT IND.EST.,LOTULIM,CUNCOLIEN,ORDINARY,TTN IND EST,,CNCL,#N/A,#N/A,Y,O,17,,TTN IND EST--CNCL,mrg46,,,,,,,
mrg47,CANACONA,PARTAGAL,KUSKEM,ORDINARY,CNC,PRTGL,KSK,#N/A,#N/A,Y,O,11,,CNC-PRTGL-KSK,mrg47,,,,,,,
mrg48,CANACONA,BHATPAL,TUDAL,ORDINARY,CNC,BTPL,TDL,#N/A,#N/A,Y,O,9,,CNC-BTPL-TDL,mrg48,,,,,,,
mrg49,MARGAO,BETUL/AGOND,CANACONA,ORDINARY,MRG,BTL/AGND,CNC,#N/A,#N/A,Y,O,21,,MRG-BTL/AGND-CNC,mrg49,,,,,,,
mrg5,MARGAO,PND/ANMOD,HUBLI,EXPRESS,MRG,PND/ANMD,HBL,#N/A,#N/A,Y,IS,18,X,X:MRG-PND/ANMD-HBL,mrg5,,,,,,,
mrg50,MARGAO,KEPEM,KALAY,ORDINARY,MRG,QPM,KLY,#N/A,#N/A,Y,O,16,,MRG-QPM-KLY,mrg50,,,,,,,
mrg51,PONDA,SHIRODA,CURCHUREM,ORDINARY,PND,SRD,CURCH,#N/A,#N/A,Y,O,16,,PND-SRD-CURCH,mrg51,,,,,,,
mrg52,CURCHOREM,COLLEM,MOLLEM,ORDINARY,CURCH,CLM,MLM,#N/A,#N/A,Y,O,12,,CURCH-CLM-MLM,mrg52,,,,,,,
mrg53,PONDA,SHIRODA,KAMARKHAN,ORDINARY,PND,SRD,KMRKN,#N/A,#N/A,Y,O,18,,PND-SRD-KMRKN,mrg53,,,,,,,
mrg54,PONDA,KERI,SAVOI,ORDINARY,PND,KERI,SVAI,0,69,Y,O,9,,PND-KERI-SVAI,mrg54,,,,,,,
mrg55,MARGAO,KEPEM,SULKARNA,ORDINARY,MRG,QPM,SLKRN,#N/A,#N/A,Y,O,16,,MRG-QPM-SLKRN,mrg55,,,,,,,
mrg56,MARGAO,ZUARI NAGAR,HARBOUR/VSD,ORDINARY,MRG,ZNGR,HRB/VSD,#N/A,#N/A,N,O,17,,NOT INCLUDED,mrg56,,,,,,,
mrg57,TT IND.ESTE,LOTULIM/BRM,SHIRODA,ORDINARY,TTN IND EST,LTL/BRM,SRD,#N/A,#N/A,Y,O,12,,TTN IND EST-LTL/BRM-SRD,mrg57,,,,,,,
mrg58,PANJIM,TTN/LOTULIM,SHIRODA,ORDINARY,PNJ,TTN/LTL,SRD,#N/A,#N/A,Y,O,21,,PNJ-TTN/LTL-SRD,mrg58,,,,,,,
mrg59,SANVORDEM,SANGUEM,SALJINI,ORDINARY,CURCH,SNGM,SLJN,#N/A,#N/A,Y,O,18,,CURCH-SNGM-SLJN,mrg59,,,,,,,
mrg6,MARGAO,CURCHOREM,BELGAUM,EXPRESS,MRG,CURCH,BGM,#N/A,#N/A,Y,IS,20,X,X:MRG-CURCH-BGM,mrg6,,,,,,,
mrg60,CANACONA,AGONDA,VAL,ORDINARY,CNC,AGND,VAL,#N/A,#N/A,Y,O,6,,CNC-AGND-VAL,mrg60,,,,,,,
mrg61,MARGAO,FATORPA,VAL,ORDINARY,MRG,FTRP,VAL,#N/A,#N/A,Y,O,23,,MRG-FTRP-VAL,mrg61,,,,,,,
mrg62,MARGAO,CRH/NERTURL,SALJINI,ORDINARY,MRG,CURCH/NTL,SLJN,#N/A,#N/A,Y,O,27,,MRG-CURCH/NTL-SLJN,mrg62,,,,,,,
mrg63,MARGAO,CANACONA,TIRVAN,ORDINARY,MRG,CNC,TRVN,#N/A,#N/A,Y,O,20,,MRG-CNC-TRVN,mrg63,,,,,,,
mrg64,MARGAO,CANACONA,VAL,ORDINARY,MRG,CNC,VAL,#N/A,#N/A,Y,O,17,,MRG-CNC-VAL,mrg64,,,,,,,
mrg65,MARGAO,MONGUL,VP BETALBAT,ORDINARY,MRG,MNGL ,BTBT,#N/A,#N/A,Y,O,7,,MRG-MNGL -BTBT,mrg65,,,,,,,
