BUS_STOP_CD	BUS_STOP_NM	Latitude	Longitude
AASSS	ADARSH NAGAR		
AASA	ADARSH VASAHAT		
ADRSHVST	ADARSH VASAHAT		
ADRSHVDL	ADARSH VIDHYALAYA		
ARVM	ADARSH VIDYAMANDIR		
AASACNSK	ADARSHA CO-OP HSG. SOC. FATA		
AASAHNSK	ADARSHA HOUSING SOCIETY		
ADRSL	ADARSOOL		
AAWIN	ADARWAD		
AAWAIMP	ADARWADI		
ADRDI	ADARWADI		
AADRBD	ADAS		
AAKB	ADAS		
AAKBIE	ADAS / DINDRUD X RD.		
AADNAB	ADAS DINDRUD X RD.		
AADNKB	ADAS DINDRUD X RD.		
AAAAB	ADAS FATA		
AADB	ADAS FATA		
AADXA	ADAS X RD.		
AADXRD	ADAS X RD.		
AAASNGP	ADASA		
ADSA	ADASA		
AAAFTMN	ADASA FATA		
ADSRWST	ADASARE WASTI		
ADGD	ADASI		
ADSAFT	ADASI FATA		
AAIAGN	ADASI TOLA		
AAULPN	ADASUL		
AAULTA	ADASUL		
ADSMLNGV	ADASULE MALA NIGAVE		
ADTMRKO	ADAT MARKET		
ADDLI	ADAUDALI		
ADVKAS	ADAVA FATA		
ADVMRS	ADAVA FATA		
AAVARD	ADAVA ROAD		
ADVJTS	ADAVA ROAD		
ADVKVS	ADAVA ROAD		
AAADCAJN	ADAVAD		
AVALILNR	ADAVALI FATA		
AVALIMLS	ADAVALI GAON		
AVMH	ADAVALI MOHALLA		
ANF	ADAVALI NARAKARWADI FATA		
ADRLYST	ADAVALI RAILWAY STATION		
AVALIRJR	ADAVALI SCHOOL		
ADPDA	ADAVPADA		
AAADYJ	ADAWAD		
AAACPR	ADAWADE WADI		
AWALIMLS	ADAWALI		
AWALILNR	ADAWALI SCHOOL		
AAAMVS	ADAWALI TITHA		
AAWLMVSD	ADAWALI VIHIR		
AAANPT	ADAWAN		
ABNMVS	ADBANDAR		
ADBNT	ADBANGNATH		
ABULUPA	ADBDULPUT TANK X RD.		
ADD	ADD		
ADDWSN	ADD		
ADSLJR	ADDISHTI MANDIR		
ADLRSARA	ADDLER		
ADEQ	ADE		
ADEQBKL	ADE		
AEKP	ADE		
AEMDR	ADE		
AEMR	ADE		
ADEBG	ADE BRIDGE		
AEBDOR	ADE BRIDGE FATA		
ADEFT	ADE FATA		
AEFT	ADE FATA		
ADEH	ADE HIGH SCHOOL		
ASHFT	ADE SHIVAJINAGAR FATA		
ADGON	ADEGAON		
ADGONCCA	ADEGAON		
ADGONHN	ADEGAON		
AEAMN	ADEGAON		
AEANGC	ADEGAON		
AEAODW	ADEGAON		
AEAONY	ADEGAON		
AEAOPB	ADEGAON		
AEAOPY	ADEGAON		
AEAOUN	ADEGAON		
ADEG	ADEGAON FATA		
ADEGKN	ADEGAON FATA		
AEAFTPY	ADEGAON FATA		
AEAHN	ADEGAON FATA		
AEAMNGP	ADEGAON FATA		
AEAODIWA	ADEGAON FATA		
AEAOKN	ADEGAON FATA		
ADGNTS	ADEGAON PATI		
ADELI	ADELI		
AEIKAS	ADELI FATA		
ALIGKDS	ADELI G.P.O.		
ADHSC	ADELI HIGH SCHOOL		
ALIHKDS	ADELI HOSPITAL		
AESS	ADELI POST		
AEKKAS	ADELKAR STOP		
AEIMLS	ADERI BELANE FATA		
AWADIRJR	ADEWADI		
ASKC	ADEWASI SAMAJ KALYAN CENTER		
AAGOYN	ADGAON		
ADGAON	ADGAON		
ADGAONA	ADGAON		
ADGAONPA	ADGAON		
ADGAONPJL	ADGAON		
ADGN	ADGAON		
ADGNCJ	ADGAON		
ADGNK	ADGAON		
ADGNN	ADGAON		
ADGP	ADGAON		
AGAOAA	ADGAON		
AGASNBL	ADGAON		
AGO	ADGAON		
AGOAA	ADGAON		
AGOAAZ	ADGAON		
AGOBJL	ADGAON		
AGOCJ	ADGAON		
AGOCNAS	ADGAON		
AGOEJ	ADGAON		
AGOMP	ADGAON		
AGONAH	ADGAON		
AGONAJ	ADGAON		
AGONBB	ADGAON		
AGONBHN	ADGAON		
AGONGB	ADGAON		
AGONJP	ADGAON		
AGONKB	ADGAON		
AGONKW	ADGAON		
AGONLN	ADGAON		
AGONMB	ADGAON		
AGONPA	ADGAON		
AGONPP	ADGAON		
AGONPY	ADGAON		
AGONSN	ADGAON		
AGONWW	ADGAON		
AGOPJ	ADGAON		
AGOPN	ADGAON		
AGOYJWL	ADGAON		
AGOSA	ADGAON / AMBHARI FATA		
AGOKG	ADGAON / CHICHAGAD		
AGOAARR	ADGAON / CHINCHOLI X RD.		
