BUS_STOP_CD	BUS_STOP_NM	Latitude	Longitude
SKLRMT	SUKALI		
SKLSH	SUKALI		
SKLW	SUKALI		
SUKALI	SUKALI		
SUKALIBN	SUKALI		
SUKALIKOM	SUKALI		
SKLSAR	SUKALI / SHEKTA X RD.		
SKLCC	SUKALI /UKLI FATA		
SKLASW	SUKALI BAI		
SKLIBWW	SUKALI BAI		
SKLIDSM	SUKALI DAWALI		
SKLA	SUKALI FATA		
SKLASAR	SUKALI FATA		
SKLFTDY	SUKALI FATA		
SKLFTUY	SUKALI FATA		
SKLIF	SUKALI FATA		
SKLIFAIW	SUKALI FATA		
SKLIFDRA	SUKALI FATA		
SKLIFPRA	SUKALI FATA		
SKLIFRDW	SUKALI FATA		
SKLIFSNH	SUKALI FATA		
SKLIFTAG	SUKALI FATA		
SUKLFT	SUKALI FATA		
SKLIG	SUKALI GAON		
SKG	SUKALI GHARPURE		
SKLIKH	SUKALI TANDA		
SKLBAW	SUKALI UBHAR		
SKLIX	SUKALI X RD.		
SKLIXHNN	SUKALI X RD.		
SKLKH	SUKALI X RD.		
SKLUY	SUKALI X RD.		
SKLFT	SUKALIFATA		
SLDI	SUKALVADI		
SKLVVPN	SUKALVEDHE		
SKWD	SUKALWAD		
SUKL	SUKALWAD		
SKBZ	SUKALWAD BAZAR		
SKLKAS	SUKALWAD BAZAR		
SKWRFT	SUKALWAD WARAD FATA		
SKLD	SUKALWADI		
SLWDT	SUKALWADI		
SKLWDF	SUKALWADI FATA		
SKMSGR	SUKAM WADI		
SKMLJR	SUKAMVADI		
SKNNN	SUKANE		
SKNEWY	SUKANEGAON		
SKNFTWY	SUKANEGAON FATA		
SKNIULT	SUKANI		
SKPNSK	SUKAPUR		
SKPRSD	SUKAPUR		
SKPUAH	SUKAPUR		
SSKPKN	SUKAPUR		
SUUR	SUKAPUR		
SKPU	SUKAPUR FATA		
SKPUAJ	SUKAPURI		
SKPUI	SUKAPURI X RD.		
SKSLVT	SUKASALE		
SUALE	SUKASALE		
SKTBO	SUKATA		
SUALI	SUKAVALI		
SKEUMS	SUKDEV VASTI		
SKDVI	SUKDEVI		
SKEUMSA	SUKDEVWASTI		
SKIAY	SUKDI		
SKIHN	SUKDI		
SKTL	SUKE TALE		
SUK	SUKELI		
SKLIGPNR	SUKELI GAON		
SKENIA	SUKENA		
SKN	SUKENE		
SKNE	SUKENE		
SKFT	SUKENE FATA		
SKNF	SUKENE FATA		
SKWDSAR	SUKEWADI FATA		
SKAABJT	SUKHADAMBA		
SHADAKER	SUKHADAR		
SKADR	SUKHADAR WADI		
SKDTL	SUKHADEOTOLI		
SKHRFTR	SUKHADHAR FATA		
SHADHKER	SUKHADHAR MANDIR		
SKHDKDRT	SUKHADHAR SCHOOL		
SKALKY	SUKHALI		
SKAFTMB	SUKHALI FATA		
SUKT	SUKHALI FATA		
SKKR	SUKHALI KARAL		
SKAD	SUKHANDE VASTI		
SKAAAPT	SUKHAPADA		
SKAPRAJ	SUKHAPURI		
SKAPRADJ	SUKHAPURI FATA		
SKAPRGIJ	SUKHAPURI GAON		
SKAPR	SUKHAPURI X RD.		
SKAASD	SUKHAVAD		
SUKI	SUKHAVALI		
SKDDOR	SUKHDAR FATA		
SHEVVS	SUKHDEV VASTI		
SUHVI	SUKHDEVI		
SKDOPY	SUKHDOI		
SKEYN	SUKHE FATTA		
SUKHED	SUKHED		
SKEUPS	SUKHED KHIND		
SKELRR	SUKHELI		
SKEADI	SUKHEWADI FATA		
SKHPDIBSR	SUKHI PADA		
SUKH	SUKHWADI		
SUKIP	SUKI		
SKFTP	SUKI FATA		
SKVKDR	SUKIVALI DUKAN		
SIVALKER	SUKIVALI GAVALIWADI		
SKIAN	SUKKI		
SKKI	SUKKI		
SKLVN	SUKLAVAN		
SVBZ	SUKLAVAN BAZAAR		
SKIA	SUKLI		
SKIAA	SUKLI		
SKIKB	SUKLI		
SKIMB	SUKLI		
SKIPA	SUKLI		
SKISW	SUKLI		
SUKLI	SUKLI		
SUKLINGP	SUKLI		
SUKLIP	SUKLI		
SKIAMRB	SUKLI FATA		
SKIAPRA	SUKLI FATA		
SKIFBH	SUKLI FATA		
SKIFTBH	SUKLI FATA		
SKLIFT	SUKLI FATA		
SKLIFTANN	SUKLI FATA		
SKIHIN	SUKLI X RD.		
SUKODA	SUKODA		
SKDAF	SUKODA FATA		
SKDAFSRB	SUKODA FATA		
SUOD	SUKOND MADI SHOP		
SUKO	SUKONDI AMBA		
SONDIDPR	SUKONDI BUDDHAWADI		
SODISC	SUKONDI SCHOOL		
SKAVT	SUKSAL		
SKSLE	SUKSALE		
SKSLEVT	SUKSALE		
SKAENVT	SUKSALE NAGAR		
SKAETVT	SUKSALE TOWN		
SKABO	SUKTA		
SKTW	SUKTAWA		
SKRFTNN	SUKUR FATA		
SKRDMW	SUKURDHAN		
SKADSN	SUKVAD		
SKENN	SUKVEL		
SKELF	SUKVEL FATA		
SUYCBK	SUKYACHI WADI		
SKCBK	SUKYACHIWADI FATA		
SLWT	SUL WASTI		
SULWST	SUL WASTI		
SLAMHBL	SULA		
SLAGA	SULAGA		
SLGE	SULAGE		
SLJJB	SULAJ		
SLJGO	SULAJGAON		
SLMND	SULAMAN DALAVA		
SUL	SULAMBI		
SLPM	SULAPEM		
SLTNPRP	SULATANPURSHIROLI		
SLVAA	SULAVADA FATA		
SLWDSD	SULAWADE		
SLALSH	SULDALI		
SLGK	SULE		
SLPK	SULE		
SUEGK	SULE		
SULE	SULE		
SULEAKL	SULE		
SULEC	SULE		
SULEK	SULE		
SULEMJL	SULE		
SLKN	SULE FATA		
SRHS	SULE REST HOUSE		
SULG	SULEGAON		
SLAAK	SULERAN		
SLWUMS	SULEWADI		
SLWUMSA	SULEWADI		
SULDI	SULEWADI		
SULDIKSN	SULEWADI		
SULDISN	SULEWADI		
SLWSN	SULEWADI FATA		
SWDIVS	SULEWADI VASTI		
SLGKR	SULGA		
SLOKK	SULGAON		
SUANKAR	SULGAON		
SULON	SULGAON		
SLFTNRN	SULI FATA		
SLVLGN	SULI VILLAGE		
SLHYN	SULKHICHA DONGAR		
SLDKK	SULKUD		
SUUKAR	SULKUD		
SLALAL	SULLALI		
SLALJL	SULLALI PATI		
SLALUL	SULLALIPATI		
SLADSH	SULTADHARI		
SLGD	SULTAN GADE		
SLTBAD	SULTANABAD		
SNBD	SULTANABAD		
SLABAP	SULTANBAD		
SULX	SULTANBAD X RD.		
SUTAD	SULTANGAD		
SUTDEKSN	SULTANGADE		
SUTTSS	SULTANGADE		
SLANA	SULTANPUR		
SLANUHW	SULTANPUR		
SLANUSN	SULTANPUR		
SLAPAP	SULTANPUR		
SLAPMBL	SULTANPUR		
SLAPRAS	SULTANPUR		
SLAPRBB	SULTANPUR		
SLTNPR	SULTANPUR		
SLTPP	SULTANPUR		
SLTPR	SULTANPUR		
SNPR	SULTANPUR		
SUAPKAR	SULTANPUR		
SULPR	SULTANPUR		
SULT	SULTANPUR		
SLANU	SULTANPUR FATA		
SLAPUMNB	SULTANPUR FATA		
SUTP	SULTANPUR FATA		
SUTU	SULTANPUR X RD.		
SLAAA	SULTANPUR/ EDAGA		
SLANUMNB	SULTANPUR/ MAL WADI		
SLANUSAN	SULTANPURI FATA		
SULD	SULTANWADI		
SLAASN	SULVADA		
SLADSAN	SULVADA FATA		
SLAD	SULVADE FATA		
SLADSN	SULWADE		
SLAESD	SULWADE B.P.		
SUWDI	SULWADI		
SMRDVMR	SUMARADEVI		
SUBDI	SUMBEWADI		
SMHOO	SUMBHA		
SMBWD	SUMBHE WADI		
SMRLUO	SUMDRAL		
SMMTL	SUMO MOTEL		
SMHAKL	SUMTHANA		
SPTNA	SUMTHANA		
SUTNA	SUMTHANA		
SUTNAWCA	SUMTHANA		
SHNAFT	SUMTHANA FATA		
SMHFTWC	SUMTHANA FATA		
SUTNE	SUMTHANE		
SMHTRC	SUMTHATA		
SNFLMB	SUN FLAG GATE		
SUAIHK	SUNAL WADI		
SNRAN	SUNARDA		
SNSGN	SUNASGAON		
SNSABJ	SUNASGAON FATA		
SNSAJJ	SUNASGAON FATA		
SNVNCJ	SUNAVANE		
SNALAA	SUNDALA		
SNAMG	SUNDAR NAGAR		
SNAUPS	SUNDAR NAGAR		
SRW	SUNDAR WADI		
SUDRA	SUNDARA		
SNARAR	SUNDARBAG		
SUNB	SUNDARBAG STOP		
SNADB	SUNDARBAI SHOOL		
SNARDG	SUNDARI		
SUDAR	SUNDARNAGAR		
SNANMG	SUNDARNAGAR FATA		
SGNGRMW	SUNDARNAGAR MALAD WEST		
SDRPT	Sundarpatti		
SUALA	SUNDARTOLA		
SDARWRJR	SUNDARWADI		
SNAUUO	SUNDARWADI		
SUDRJO	SUNDARWADI		
SNARAUAO	SUNDARWADI X RD.		
SNAWSB	SUNDAWALA		
SNSP	SUNDER STOP		
SNEROO	SUNDER WADI		
SNDRCG	SUNDERA		
SNERBB	SUNDERKHED		
SUNGI	SUNDGI		
SNGDN	SUNDGI X RD.		
SUNDI	SUNDI		
SUDD	SUNDRA/DHANDLA FATA		
SNDRGND	SUNDRI		
SNALN	SUNE GAON		
SNBH	SUNEBHAU		
SNDKEBB	SUNEDRKHED		
SGAO	SUNEGAON /DAGADPIMPARI		
SUNER	SUNER		
SNLABB	SUNFLAG		
SNLAMBA	SUNFLAG		
SNLABBA	SUNFLAG GATE		
SNFBABA	SUNFLAG START BHANDARA		
SNFBABAA	SUNFLAG/L WARTHI		
SNAOJBL	SUNGAON		
SNAODB	SUNGAON FATA		
SNGIJJ	SUNGIRANI		
SNRGAR	SUNGRTALI HIGH SCHOOL		
SNLNG	SUNIL NAGAR		
SNGANJDB	SUNJGAON		
SNKWA	SUNKA		
SNAIAP	SUNKADI		
SNKL	SUNKARALLI		
SNDAP	SUNKDI/UMDAM		
SNAPY	SUNNA		
SNATMKY	SUNNA TEMBHI		
SNNPNYV	SUNNA TEMBHI		
SNPNT	SUNNIPENTA		
SUNODA	SUNODA		
SNDRJ	SUNODA B.P.		
SNDA	SUNODA MAG. FATA		
SNCM	SUNRISE COMPLEX		
SNIEAA	SUNRISE INDS.		
SNAUKR	SUNTANUR		
SNANCNJ	SUNVANE		
SNANKDA	SUNVANE		
SPBP	SUPA		
SPPP	SUPA		
SUPA	SUPA		
SUPAS	SUPA		
SPFT	SUPA FATA		
SPNS	SUPA INS BUNGALOW FATA		
SUPASWD	SUPA SATKAR WADI		
SPTSP	SUPA STN		
SPKRWD	SUPAKAR WADI		
SPKHL	SUPAKHEL FATA		
SPKHLWMW	SUPAKHELAGAON		
SUPALI	SUPALI		
SPLIAG	SUPALIPAR		
SUPL	SUPALWADA STN.		
SUP	SUPANE		
SPNEFTK	SUPANE FATA		
SPBG	SUPARI BAUG		
SUPDI	SUPARWADI		
SPTEWD	SUPATE WADI		
SPRSK	SUPATRE		
SUPEQ	SUPE		
SUPEQCKL	SUPE		
SPCL	SUPEDAR COLONY		
SPGA	SUPEGAO FATA		
SPGAN	SUPEGAON		
SPGO	SUPEGAON		
SUPON	SUPEGAON		
SPGR	SUPEGHAR		
SPLCHKCG	SUPELA CHOUK		
SPRCCC	SUPER COLONY CHOUK		
SPRI	SUPER HIGHWAY		
SPRICYA	SUPER HIGHWAY		
SPRIDIW	SUPER HIGHWAY		
SPRA	SUPER MARKET		
SPWDKP	SUPEWADI		
SPWUAP	SUPEWADIGAON		
SPWDPHT	SUPEWADIPHATA		
SPHEWW	SUPKHELA		
SKRVT	SUPNEKAR VASTI		
SPAGP	SUPPA		
SPAKH	SUPPA		
SPAPB	SUPPA		
SPPA	SUPPA		
SPPAS	SUPPA		
SPDT	SUPPLY DEPOT		
SUPY	SUPPLY DEPOT GATE NO.3		
SPIEJJ	SUPRIME		
SUIFKAR	SUPTI FATA		
SRRIBJ	SUR RIVER		
SURRV	SUR RIVER		
SRDB	SURA		
SURASC	SURA SCHOOL		
SURATM	SURA TEMPLE		
SURB	SURABARDI		
SAVIGN	SURADEVI GAON		
SRIMR	SURAI		
SRISD	SURAI		
SURAI	SURAI		
SRIA	SURAI FATA		
SUAF	SURAI FATA		
SRJTKD	SURAJ TEKADI		
SRJKSH	SURAJKHEDA		
SRKDFT	SURAJKHEDA FATA		
SRJTL	SURAJTOLA		
SRLWS	SURAL		
SURL	SURAL		
SALBGHR	SURAL BRIDGE		
SALFGHR	SURAL FATA		
SRAGRRT	SURAL FATA IN		
SRGY	SURAL GHADAYAWADI		
SALMGHR	SURAL MACHINE		
SRMGFT	SURAL MARGARMHANE FATA		
SALSGHR	SURAL STOP		
SRVLG	SURAL VILLAGE		
SRLGP	SURAL WADI		
SRLWW	SURALA		
SURALA	SURALA		
SRLFTW	SURALA FATA		
SRLUJP	SURALE		
SRLCA	SURALI		
SURALI	SURALI		
SUAK	SURALI/NIMKHED FATA		
SRLCAZ	SURALIFATA		
SUWF	SURALWADI FATA		
SRANPD	SURAN PADA		
SRNDBJ	SURANADI		
SRNE	SURANE		
SSNGL	SURANGALI		
SRNGL	SURANGALI X RD.		
SRNAPJ	SURANGAV		
SRGGK	SURANGI FATA		
SUNNI	SURANGPANI		
SRSWKAR	SURASEWADI		
SRSUSP	SURASGAON		
SRSAI	SURASWADI		
SRSAIPAR	SURASWADI FATA		
SRT	SURAT		
SUASLS	SURAT GAON		
SUATLO	SURAT GAON		
SRTGO	SURATGAON		
SURT	SURATGAON		
SRTTO	SURATHGOAN		
SUAW	SURAWADI		
SRYAF	SURAYA FATA		
SLLI	SURAYAPALLI		
SRANMG	SURBAND		
SRANSB	SURBANDH		
SRBDI	SURBODI		
SROBC	SURBODI / SONDARI FATA		
SRDAPR	SURDAPUR		
SRGATO	SURDGAON		
SRIAIB	SURDI		
SRIBB	SURDI		
SRIKJB	SURDI		
SRIKO	SURDI		
SRIMB	SURDI		
SRIOO	SURDI		
SURDI	SURDI		
SRIU	SURDI BUDRUK		
SRIABDB	SURDI FATA		
SRINJMB	SURDI NAJIK		
SRITOMB	SURDI THOT		
SRIKBO	SURDI X RD.		
SRIXKJB	SURDI X RD.		
SURX	SURDI X RD.		
SRID	SURDI, DEVDI X RD.		
SREGIA	SUREGAON		
SRGO	SUREGAON		
SRGONAR	SUREGAON		
SSRGYN	SUREGAON		
SURE	SUREGAON		
SURGN	SUREGAON		
SRGNAZ	SUREGAON FATA		
SRGOBSR	SUREGAON FATA		
SRGOSAR	SUREGAON FATA		
SRGOSNK	SUREGAON FATA		
SRGSA	SUREGAON FATA		
SRGUSA	SUREGAON FATA		
SUEA	SUREGAON FATA		
SNDBJHS	SURENDRA BHAJIPAL HOUSE		
SUEUR	SUREPUR		
SRSFTA	SURESA FATA		
SRSNA	SURESH NAGAON		
SRSHNG	SURESH NAGAR		
SRSHNGR	SURESH NAGAR		
SRSDJJ	SURESHDADA COLLEGE		
SRWABB	SUREWADA		
SREBABAB	SUREWADA RD MATORA		
SREBABA	SUREWADAMATORA		
SREBABAA	SUREWADAMOTORA		
SRYDOR	SUREYWADI		
SRGN	SURGANA		
SRANDIN	SURGANA / KALWAN		
SRGNKFT	SURGANA / KALWAN FATA		
SSRASN	SURGANA FATA		
SGKWFT	SURGANA KALWAN FATA		
SPRFT	SURGANA PRATAPGAD FATA		
SRADN	SURGANA/ KWN FATA		
SRANKNN	SURGANA/KALWAN FATA		
SRGNE	SURGANE		
SRAOHH	SURGAON		
SRAOPY	SURGAON		
SRAORDW	SURGAON		
SRAOSUW	SURGAON		
SURON	SURGAON		
SRAUN	SURGAON KHADAN		
SRGNWD	SURGAON WADI		
SRASAK	SURGAS		
SRASF	SURGAS FATA		
SRIIPYNV	SURGINI		
SRPL	SURI POULTRY		
SRJGD	SURJAGAD		
SRJTG	SURJATOLA		
SRJY	SURJYA MAL		
SRADAP	SURKANDI		
SRARNR	SURKAR WADI GAONKHADI		
SRHDNN	SURKHED		
SURK	SURKHEWADI FATA		
SRGAR	SURL PUL		
SRAWY	SURLA		
SRAZY	SURLA		
SRAFTZY	SURLA FATA		
SREMN	SURLE		
SRESR	SURLE		
SRLEMD	SURLE MANDIR		
SSHL	SURLESHOOL		
SRIUKS	SURLI		
SRIUKSA	SURLI		
SRIWA	SURLI		
SULKDS	SURLI BRIDGE		
SBF	SURLI BRIDGE FATA		
SRIKS	SURLI FATI		
SRIUMS	SURLI PATI		
SRIVS	SURLI RD		
SRLIRD	SURLI ROAD		
SURMAL	SURMAL		
SRALMT	SURMAL FATA		
SRDSAR	SURODI		
SUROLI	SUROLI		
SRANF	SURPAN FATA		
SRESD	SURPEN		
SURPMP	SURPIMPARI		
SURPGN	SURPIMPARIGAON		
SURPIMRTND	SURPIMPRI TANDA		
SRUE	SURSULE		
SUSDI	SURSUNDI		
SRCHMLS	SURUCHE BAN		
SURUL	SURUL		
SURULWSN	SURUL		
SRULFT	SURUL FATA		
SWA	SURUL WAI FATA		
SRMA	SURUM GAON		
SRMGPJ	SURUMGAON		
SRPLI	SURUPALI		
SRAKK	SURUPALI FATA		
SRRUPS	SURUR		
SRRUPSA	SURUR		
SURR	SURUR		
SRWS	SURUR - WAI FATA		
SRURFT	SURUR FATA		
SRGNP	SURUR GAON		
SUUON	SURURGAON		
SRECK	SURUTE		
SUTKAR	SURUTE FATA		
SRAUIP	SURVAD		
SRANDNN	SURVANI BUDRUK		
SRAIKDN	SURVANI KHURD		
SVESNR	SURVE		
SRVCHK	SURVE CHOWK		
SRDK	SURVE DUKAN		
SRVDKN	SURVE DUKAN		
SUVDKN	SURVE DUKAN		
SRERAR	SURVE DUKHAN		
SUVE	SURVE FATA		
SUVH	SURVE HOTEL		
SURS	SURVE SHOP		
SVESLNR	SURVE SHOP		
SURP	SURVE STOP		
SVESSNR	SURVE STOP MEDHE		
SRVD	SURVE VADI		
SRECPR	SURVE WADI		
SREKDR	SURVE WADI		
SRVEWD	SURVE WADI		
SURDW	SURVE WADI		
SVKDRTN	SURVEKOND		
SSHP	SURVESHOP		
SRESGR	SURVEVADI		
SRELJR	SURVEWADI		
SREUMS	SURVEWASTI		
SRAA	SURWAD GAT CENTRE		
SRWDA	SURWADA		
SRWDABJL	SURWADA		
SUDE	SURWADE		
SRADPP	SURWADI		
SUWA	SURWADI		
SRAFTPP	SURWADI FATA		
SWDIFT	SURWADI FATA		
SRAIAN	SURWANI		
SRWNFT	SURWANI FATA		
SWNVSTS	SURWANSHI VASTI		
SRDBJ	SURWDA		
SRACWT	SURYA CO.		
SURYUR	SURYA HSG. SOC.		
SRYMR	SURYA MANDIR		
SRMD	SURYA MEDICAL		
SRML	SURYA MEDICAL(DUTTA MANDIR)		
SRANGDT	SURYA NAGAR		
SRANDT	SURYA NAGAR FATA		
SRPJ	SURYA PROJECT		
SYWD	SURYACHI WADI		
SYWDKSN	SURYACHI WADI		
SRCWD	SURYACHIWADI		
SUCDI	SURYACHIWADI		
SRAOCG	SURYADONGARI		
SRYGD	SURYAGAD		
SRATN	SURYAGAD FATA		
SRASN	SURYAGARDH/PRATAPGARH		
SURYLT	SURYALATA CO.		
SRAAMT	SURYAMAL		
SUAAR	SURYANAGAR		
SUAARWSN	SURYANAGAR		
SRANG	SURYANAGAR FATA		
SRANR	SURYANARAYAN TEMPLE		
SUYKVS	SURYANSHI MALA		
SUYWLS	SURYANSHI MALA		
SUYLI	SURYAPALLI		
SRAALSG	SURYAPALLY		
SURTL	SURYATOLA		
SUYTSS	SURYAVANSHI MALA		
SRNA	SURYAVANSHI NAGAR		
SUYAPS	SURYAWANSHI FARM		
SWST	SURYAWANSHI WASTI		
SUYW	SURYAWANSHIWADI		
SWBN	SURYAWANSI BANGALOW		
SUSA	SUSA		
SUAAD	SUSALAD		
SSLAKR	SUSALAD FATA		
SSNCPS	SUSAN CO.		
SSNVGVT	SUSANAVAGHAR		
SSARWD	SUSAR WADI		
SSRDA	SUSARDA		
susare	susare		
SSRI	SUSARI		
SSRIZY	SUSARI		
SSRFTZY	SUSARI FATA		
SSERIA	SUSERI NO 2		
SUSE	SUSERI NO.1		
SHNINS	SUSHANE INDUSTRIES		
SSIGB	SUSHI		
SSIVMC	SUSHI VILLAGE		
SUSH	SUSHRUSHA HOSPITAL		
SSIPC	SUSI VILLAGE		
SSRD	SUSROAD		
SSTE	SUSTE		
SSNAW	SUSUND		
SSNRAB	SUSUNDRA		
SSNRAW	SUSUNDRA		
SSNRKW	SUSUNDRA		
SUURI	SUSUNDRI		
SSRDH	SUSURDOH		
STGPK	SUT GIRAN		
STGUJS	SUT GIRAN		
STG	SUT GIRANI		
STGIADD	SUT GIRANI		
SUKAS	SUT GIRANI		
SUKDS	SUT GIRANI		
SUSNS	SUT GIRANI		
STGRNAJ	SUT GIRINI		
STGRNDD	SUT GIRINI		
STGRNGJ	SUT GIRINI		
STGRNOO	SUT GIRINI		
STGRNSN	SUT GIRINI		
STGRNTO	SUT GIRINI		
STGINBB	SUT GIRNI		
STGR	SUT GIRNI		
STGRIGJ	SUT GIRNI		
STGRIOO	SUT GIRNI		
STMEL	SUT MEEL WAGHOLI X RD.		
STMIOO	SUT MIL		
STDJA	SUTADA		
STGRSD	SUTAGIRNI		
STGSS	SUTAGIRNI		
STKTK	SUTAKATTI		
SUTALA	SUTALA		
STLFTMB	SUTALA FATA		
SARGLNR	SUTAR GHAR		
STARHS	SUTAR HOUSE		
SUAWLS	SUTAR MALA		
STARPD	SUTAR PADA		
STRPD	SUTAR PADA		
STRUJP	SUTAR TIKE		
SUTR	SUTAR VADI		
SRVKK	SUTAR VASTI		
STARVS	SUTAR VASTI		
STRWD	SUTAR WADI\n		
STARWDH	SUTAR WADI		
STASARA	SUTAR WADI		
STRAMAR	SUTAR WADI		
STRAMDR	SUTAR WADI		
STRAMLP	SUTAR WADI		
STRAPRR	SUTAR WADI		
STRARAR	SUTAR WADI		
STRCPR	SUTAR WADI		
STRLNR	SUTAR WADI		
STRESK	SUTARE		
STRKR	SUTARKAR FATA		
STRKD	SUTARKOND		
SURND	SUTARKOND		
STRML	SUTARMAL		
STRRAR	SUTARMAL		
SARMARJR	SUTARMAL OUT		
STGUJ	SUTARPADA		
STRAANN	SUTARPADA		
STRKP	SUTARTIKE		
STRMDR	SUTARVADI		
SUTA	SUTARVADI		
SUTRWD	SUTARWADI\n		
SARWAVNS	SUTARWADI		
SDRDI	SUTARWADI		
STRAI	SUTARWADI		
STRD	SUTARWADI		
STRDBKL	SUTARWADI		
STRKDR	SUTARWADI		
STRLJR	SUTARWADI		
STRMVS	SUTARWADI		
STRRNR	SUTARWADI		
STRSGR	SUTARWADI		
STRUBP	SUTARWADI		
STRUKS	SUTARWADI		
STRVBS	SUTARWADI		
STRW	SUTARWADI		
STRWDR	SUTARWADI		
STWGK	SUTARWADI		
STWCPR	SUTAWI BANDAR		
STIASD	SUTGIRANI		
STIGHK	SUTGIRANI		
SUINI	SUTGIRANI		
SUINIDDU	SUTGIRANI		
STGPNYV	SUTGIRNI		
STIRAA	SUTGIRNI		
STIRIAA	SUTGIRNI		
STIRIJJ	SUTGIRNI		
STIRIWW	SUTGIRNI		
STIRMB	SUTGIRNI		
STIRPP	SUTGIRNI		
STIRPY	SUTGIRNI		
STIRWW	SUTGIRNI		
SUGNI	SUTGIRNI		
STGRCK	SUTGIRNI CHOUK		
STGCKAW	SUTGIRNI CHOWK		
STPNAN	SUTIPANI		
STKR	SUTKAR		
STITO	SUTMIL		
STAADT	SUTRAKAR		
STAKR	SUTRAKAR FATA		
STAFTOO	SUTTA FATA		
STAUOO	SUTTA FATA MALKAPUR		
SUTVI	SUTVI		
SGRFT	SUTVI GANGARI FATA		
SUVW	SUVAREWADI		
SUVI	SUVI POULTRY		
SVDAH	SUVIDHA HOTEL		
SVDAHSAR	SUVIDHA HOTEL		
SURRA	SUWARDHARA		
SUWR	SUWAREWADI		
SWRAAP	SUWARNA		
SGNGRBHN	SUYOGNAGAR		
SAGAJL	SVARGAON WADI		
SRONWD	SVARGAON WADI		
SAMLJR	SWA MILL		
SAHHN	SWAD		
SWYKDR	SWADHYA KENDRA		
SWGTG	SWAGAT LODGE		
SAHUBJ	SWAGHRUL		
SAGKAR	SWALGI		
SAGKARA	SWALGI X RD		
SAMS	SWAMI ANAND MANDIR/SGUV.		
SAIKKS	SWAMI GHAR		
SAIKTOO	SWAMI KOTHA		
SMML	SWAMI MALA		
SMMLMSN	SWAMI MALA		
SAMIMD	SWAMI MANDIR		
SWMNYNBJ	SWAMI NARAYAN BRIJ		
SAISN	SWAMI SAMARTH COLLEGE		
SWMA	SWAMI SAMARTH HOSPITAL		
SAIMN	SWAMI SAMARTH KENDRA		
SAISSSL	SWAMI SAMARTH MANDIR		
SWMDR	SWAMI SAMARTH MANDIR		
SAISGR	SWAMI SAMARTH MATH		
SMSRHNGRAW	SWAMI SAMARTH NAGAR		
SSG	SWAMI SS GIRNI		
SWMAKS	SWAMI SUTGIRANI		
SWMU	SWAMI SWARUPANAND ASHRAM		
SWSWMD	SWAMI SWARUPANAND MANDIR		
SVSEHC	SWAMI VIVEKANAND / STATE EMP.HSG.COL.		
SMVG	SWAMI VIVEKANAND GARDAN		
SAIVI	SWAMI VIVEKANAND NAGAR		
SAIVNK	SWAMI VIVKEKANAND NAGAR		
SAILNR	SWAMI WAD		
SAIRAR	SWAMINCHA MATH		
SMIWALNR	SWAMIWAD		
SAGNA	SWANGI		
SAGODW	SWANGI JODRASTA		
SGH	SWAPNA NAGRARI HOTEL		
SWPLPN	SWAPNAVEL POINT		
SWPLBF	SWAPNVEL BRIF		
SAGFTLB	SWARGAON FATA		
SAGOBB	SWARGAON GHAT		
SWRON	SWARGATE OCTROI NAKA		
SWR	SWARGATE, PUNE		
SAGCPR	SWARGET		
SAGEHP	SWARGET		
SWPNMY	SWARGETPUNEMARKETYARD		
SAKHKH	SWARKHEDA		
SORM	SWAROOPASHRAM		
SAOLJR	SWAROP NUSARY		
SATKHS	SWASTIK HOSPITAL		
SWTKPR	SWASTIK PARK		
SWSTD	SWASTIK STAND		
SWTAPS	SWATANTRAPUR		
SWSC	SWATANTRYA SAINIK COLONY		
SYAMCIR	SWAYAM DEV		
SWBDI	SWAYAMBHUWADI		
SAMKK	SWAYAMBHUWADI FATA		
SWMGLY	SWAYAMWAR MANGAL KARYALAYA		
SSLFT	SWD SHOLAPUR FATA		
SETO	SWEET HOUSE		
SWZGN	SWIPZ GAON		
SRACC	SWR /MALEWADA FATA		
SRMDCC	SWR/MLD FATA		
STLKB	SWTULE		
SAPUGRA	SYADPUR		
SAPUUL	SYADPUR		
SDPIPP	SYD.PIMPALGAON		
SEOYN	SYEGOAN FATTA		
SMSFCTL	SYMBOSIS FARMACETICLE		
SEC	SYNTHETIC EMPLOYEE CO.		
STWDOR	SYTEWADI		
TUNTAB	T  JUNCTION		
AJCXXD	T POINT		
TPNT	T POINT		
TPTDSNGR	T POINT DASHMESHNAGAR		
TRMTP	T RD MEETS TO PUNE		
TRSTWL	T RD ST TO WADA LFT. DJ		
TRBTRT	T ROAD BF TO RT TO VEER		
TRDVFT	T ROAD VEER FATA		
THAB	T. B. HOSPITAL		
THKN	T. B. HOSPITAL		
TONN	T. POINT		
TPOINT	T. POINT		
TONAA	T. POINT RD		
TROA	T. ROAD		
TTRN	T.) TO AMBALA TANK FATA		
TBHO	T.B. HOSPITAL		
TBSF	T.B. SANITORIUM FATA		
TBLN	T.B.L NAKA		
TBCPN	T.B.W.E.S. COMPANY		
TKRH	T.K.R.H.HIGH SCHOOL		
TPGHF	T.POINT DHIGHORI FATA		
TPGH	T.POIT DHIGHORI		
TRKSCL	T.R.K.SCHOOL		
TRPSGR	T.R.P		
TRP	T.R.P.		
TRPCPR	T.R.P.		
TWDOF	T.W.D.OFFICE FATA		
TBTSAL	TABATSAGAVI		
TBDDR	TABED		
TBDU	TABED BUDRUK		
