ROUTE_NO	ROUTE_NAME	FROM_STOP_CD	TILL_STOP_CD
379	SHIVAJI NAGAR PUNE to BARSHI via URALI KANCHAN	SNGR	BRS
380	SWARGATE, PUNE to BARSHI via URALI KANCHAN	SWR	BRS
381	SWARGATE, PUNE to KARMALA	SWR	KML
382	SWARGATE, PUNE to AKLUJ via BARAMATI	SWR	AKJ
384	SWARGATE, PUNE to AKLUJ via INDAPUR	SWR	AKJ
385	SWARGATE, PUNE to AKLUJ	SWR	AKJ
386	SWARGATE, PUNE to SANGOLA via SHINGANAPUR	SWR	SNGO
387	SWARGATE, PUNE to SANGOLA via MAHUD	SWR	SNGO
388	SHIVAJI NAGAR PUNE to MANGALVEDHA	SNGR	MWD
389	SWARGATE, PUNE to MANGALVEDHA	SWR	MWD
394	BORIVALI SUKURWADI to KURDUWADI	BVISWD	KWD
396	BORIVALI SUKURWADI to BARSHI	BVISWD	BRS
401	DEOGAD to BELGAUM via TALE BAZAR	DGD	BGM
405	SAWANTWADI to KOLHAPUR via AJRA FATA	SWD	KLPCBS
407	SAWANTWADI to NARSOBAVADI	SWD	NRWD
408	SAWANTWADI to ICHALKARANJI	SWD	ICHL
409	VENGURLE to NIGADI via AJARA	VNG	NGDH
410	VENGURLE to KOLHAPUR via AKERI TITA	VNG	KLPCBS
416	NIGADI to KUDAL	NGDH	KDL
422	DEOGAD to AKKALKOT	DGD	AKKT
423	DEOGAD to TULJAPUR	DGD	TJP
426	MUMBAI CENTRAL to MALVAN	MCT	MLV
430	MUMBAI CENTRAL to VIJAYDURG	MCT	VJD
433	BORIVALI NANCY COLONY to DEOGAD via KANDIVALI EAST	BVINC	DGD
439	RATNAGIRI to VIJAYDURG via TARLA	RTN	VJD
444	BORIVALI NANCY COLONY to KANKAVALI	BVINC	KNK
458	VENGURLE to CHINCHWAD	VNG	CNWD
459	NIGADI to VIJAYDURG	NGDH	VJD
460	PUNE RLY. STN. to KUDAL	PNESTN	KDL
461	NIGADI to MALVAN	NGDH	MLV
463	PUNE RLY. STN. to SAWANTWADI	PNESTN	SWD
470	MALVAN to KOLHAPUR	MLV	KLPCBS
474	VIJAYDURG to PANJIM	VJD	PNJM
479	BORIVALI NANCY COLONY to SASVANE	BVINC	SSVN
481	THANE CBS to ALIBAG	THNCBS	ALB
482	MUMBAI CENTRAL to ALIBAG	MCT	ALB
484	MUMBAI CENTRAL to REVAS DHAKKA	MCT	RVDK
485	PAREL to ALIBAG	PRL	ALB
486	PAREL to MAHAJANE	PRL	MHJN
487	PAREL to SASVANE	PRL	SSVN
488	BORIVALI NANCY COLONY to MAHAD via VILEPARLE (E) SAIBABA MANDIR	BVINC	MHD
489	BORIVALI NANCY COLONY to MAHAD	BVINC	MHD
490	BORIVALI NANCY COLONY to SANDOSHI	BVINC	SAS
491	MUMBAI CENTRAL to DEVLI	MCT	DVLI
492	MUMBAI CENTRAL to UMBARDI	MCT	URDI
493	MUMBAI CENTRAL to MAHAD	MCT	MHD
494	MUMBAI CENTRAL to FALKEWADI	MCT	FWDI
495	MUMBAI CENTRAL to RAMDAS PATHAR	MCT	RADP
496	MUMBAI CENTRAL to KUMBHESHIVTHAR	MCT	KVHR
497	PAREL to GUJARKOND	PRL	GRND
498	BORIVALI NANCY COLONY to MURUD via THANE CBS	BVINC	MRD
500	BORIVALI NANCY COLONY to MURUD	BVINC	MRD
503	KALYAN to MURUD	KLN	MRD
504	MUMBAI CENTRAL to MURUD DEPOT	MCT	MRDP
506	MUMBAI CENTRAL to MURUD DEPOT via DASTURI	MCT	MRDP
507	MUMBAI CENTRAL to MURUD via TELWADE	MCT	MRD
508	MULUND to MURUD	MLND	MRD
510	THANE CBS to NADSUR	THNCBS	NDSU
511	MUMBAI CENTRAL to PEN	MCT	PEN
