route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id
111,FULLW,95324,"Amadi",,0
111,FULLW,95331,"Amadi",,0
111,FULLW,95337,"Amadi",,0
111,FULLW,95341,"Amadi",,0
111,FULLW,95349,"Amadi",,0
111,FULLW,95356,"Mapusa ",,1
111,FULLW,95363,"Mapusa ",,1
111,FULLW,95369,"Mapusa ",,1
111,FULLW,95378,"Mapusa ",,1
111,FULLW,95385,"Mapusa ",,1
111,FULLW,95390,"Mapusa ",,1
114,FULLW,95310,"Madel Ferry via Vainguinim",,0
114,FULLW,95321,"Madel Ferry via Vainguinim",,0
114,FULLW,95327,"Madel Ferry via Vainguinim",,0
114,FULLW,95336,"Madel Ferry via Vainguinim",,0
114,FULLW,95345,"Madel Ferry via Vainguinim",,0
114,FULLW,95352,"Bicholim via Vainguinim",,1
114,FULLW,95362,"Bicholim via Vainguinim",,1
114,FULLW,95372,"Bicholim via Vainguinim",,1
114,FULLW,95380,"Bicholim via Vainguinim",,1
125,FULLW,95569,"Caranzol",,0
125,FULLW,95577,"Valpoi",,1
126,FULLW,95563,"Keri, Ponda via Marcel,Mardol",,0
127,FULLW,95552,"Verna Cipla",,0
127,FULLW,95559,"Ponda",,1
128,FULLW,95557,"Volvoi",,0
128,FULLW,95564,"Volvoi",,0
128,FULLW,95567,"Ponda",,1
128,FULLW,95574,"Ponda",,1
130,FULLW,95580,"Satre",,0
130,FULLW,95588,"Valpoi",,1
131,FULLW,95571,"Hivrem",,0
131,FULLW,95578,"Hivrem",,0
131,FULLW,95581,"Hivrem",,0
131,FULLW,95584,"Valpoi",,1
131,FULLW,95591,"Valpoi",,1
132,FULLW,95590,"Zarme via Mauxim",,0
132,FULLW,95594,"Zarme via Mauxim",,0
132,FULLW,95595,"Valpoi via Mauxim",,1
133,FULLW,95572,"Panaji Market",,0
134,FULLW,95582,"Velguem",,0
134,FULLW,95587,"Valpoi",,1
138,FULLW,95305,"Varpal via Mayem",,0
138,FULLW,95319,"Bicholim via Mayem",,1
138,FULLW,95325,"Bicholim via Mayem",,1
146,FULLW,95403,"Varpal",,0
148,FULLW,95482,"Madlamaz",,0
150,FULLW,95479,"Panaji via Pedne",,1
151,FULLW,95534,"Panaji",,1
