route_id,agency_id,route_short_name,route_long_name,route_type
569,ktcl-goa-in,,"Panaji - Zarme via Ponda,Valpoi",3
572,ktcl-goa-in,,"Ponda - Goa Multi Faculty College (GMFC) Daya Nagar",3
573,ktcl-goa-in,,"Ponda - Kamorcond via Shiroda",3
577,ktcl-goa-in,,"Curchorem - Savordem - Saljini via Sanguem",3
595,ktcl-goa-in,,"Margao - Kudchire via Ponda,Marcel",3
599,ktcl-goa-in,,"Panaji - Rayeshwar College of Engineering via Ponda",3
600,ktcl-goa-in,,"Panaji - Savarshe via Marcel,Honda",3
611,ktcl-goa-in,,"Vasco - Bhatwadi",3
614,ktcl-goa-in,,"Vasco - Cortalim Junction via Titan,Neura",3
619,ktcl-goa-in,,"Vasco - Margao City via Cortalim",3
626,ktcl-goa-in,,"Bicholim - Narve Ferry via Pilgao",3
633,ktcl-goa-in,,"Panaji - Banda via Madura Devl",3
637,ktcl-goa-in,,"Panaji - Halarna via Kulan",3
638,ktcl-goa-in,,"Panaji - Hivrem via Mapusa,Pisurle",3
641,ktcl-goa-in,,"Panaji - Korgao Wada via Tuem",3
642,ktcl-goa-in,,"Panaji - Mhadai River Stop via Sanquelim",3
644,ktcl-goa-in,,"Panaji - Nanachipani via Mapusa",3
645,ktcl-goa-in,,"Panaji - Badem via Mapusa",3
646,ktcl-goa-in,,"Panaji - Harambol via Pedne,Devasu",3
649,ktcl-goa-in,,"Panaji - Usap via Mapusa,Assonora",3
652,ktcl-goa-in,,"Panaji - Shirshire via Ponda",3
654,ktcl-goa-in,,"Panaji - Old Bambolim via St. Cruz",3
656,ktcl-goa-in,,"Panaji - GMC Colony, Bambolim via St. Cruz",3
657,ktcl-goa-in,,"Panaji - Navshi, Old G.M.C. via St. Cruz",3
659,ktcl-goa-in,,"Panaji - Morle via Dodamarg",3
661,ktcl-goa-in,,"Panaji - Raj Bhavan via Miramer",3
662,ktcl-goa-in,,"Panaji - Kudchire via Karaswada,Bicholim",3
663,ktcl-goa-in,,"Panaji - Altinho via Market",3
665,ktcl-goa-in,,"Panaji - Koparde Village Stop via Mapusa",3
666,ktcl-goa-in,,"Panaji - GMC Bambolim via Santa Cruz",3
667,ktcl-goa-in,,"Panaji - Goa Engineering College, Ponda via Banastari",3
669,ktcl-goa-in,,"Panaji - Rayeshwar College of Engineering via Bicholim",3
670,ktcl-goa-in,,"Ponda - Harbour Vasco via Vasco",3
688,ktcl-goa-in,,"Panaji - Sinquirem via Mapusa,Bicholim",3
689,ktcl-goa-in,,"Panaji - Satre via Mapusa,Valpoi",3
690,ktcl-goa-in,,"Bicholim - Saptakoteshwar, Narve via Mayem Lake",3
692,ktcl-goa-in,,"Bicholim - Madel Ferry via Narva",3
695,ktcl-goa-in,,"Panaji - Madlamaz via Aroba",3
699,ktcl-goa-in,,"Mapusa  - Mapusa Distict Hospital",3
700,ktcl-goa-in,,"Mapusa  - Calvi via Aldona",3
701,ktcl-goa-in,,"Panaji - Bambolim Cross via St Cruz",3
702,ktcl-goa-in,,"Mapusa  - Goljuem via Aldona",3
719,ktcl-goa-in,,"Panaji - Agarwada Titha via Mapusa,Aroba",3
720,ktcl-goa-in,,"Mapusa  - Siolim Fish Market via Kucheli",3
722,ktcl-goa-in,,"Mapusa  - Rayeshwar College of Engineering via Ponda",3
723,ktcl-goa-in,,"Sankhali - Keri, Ponda via Amona,Gimone",3
726,ktcl-goa-in,,"Margao - Dhobi Talao Mumbai",3
727,ktcl-goa-in,,"Margao - Pune Railway Station via Ponda,Kolhapur",3
728,ktcl-goa-in,,"Margao - Shirdi MSRTC Bus Stand via Kolapur,Ahmednagar",3
729,ktcl-goa-in,,"Mapusa  - Mopa Pednekarwada",3
735,ktcl-goa-in,,"Vasco - Agapur / Agastipur",3
740,ktcl-goa-in,,"Sankhali - Tonca",3
742,ktcl-goa-in,,"Sankhali - Surla Narayan Temple",3
743,ktcl-goa-in,,"Panaji - Surla Narayan Temple",3
745,ktcl-goa-in,,"Mapusa  - Junaswada / Mandrem Beach",3
746,ktcl-goa-in,,"Mapusa  - Madkai Ozrim",3
13,ktcl-goa-in,,"Harbour Vasco - Panaji via Cortalim Jn",3
83,ktcl-goa-in,,"Panaji Market - Mapusa ",3
142,ktcl-goa-in,,"Narve Ferry - Ponda via Sankhali,Marcel",3
189,ktcl-goa-in,,"Harambol - Mapusa  via Chopdem",3
195,ktcl-goa-in,,"Volvoi - Marcel",3
209,ktcl-goa-in,,"Amthane - Panaji via Revora",3
213,ktcl-goa-in,,"Calangute - Mapusa  via Saligao",3
441,ktcl-goa-in,,"Codli Tisk - Panaji via Ponda",3
450,ktcl-goa-in,,"Betul Cross - Cuncolim via Murida",3
452,ktcl-goa-in,,"Cab de Ram - Canacona via Agonda",3
453,ktcl-goa-in,,"Cab de Ram - Panaji via Margao",3
463,ktcl-goa-in,,"Cotta - Panaji via Margao",3
476,ktcl-goa-in,,"Verna IDC - Margao via Cortalim",3
477,ktcl-goa-in,,"Kamorcond - Panaji via Margao",3
480,ktcl-goa-in,,"Khargal - Margao via Canacona",3
482,ktcl-goa-in,,"Kuskem - Margao via Mashem",3
561,ktcl-goa-in,,"Mollem - Panaji via Margao",3
562,ktcl-goa-in,,"Neturlim - Panaji via Margao",3
570,ktcl-goa-in,,"Pirla - Panaji via Margao",3
578,ktcl-goa-in,,"Tirvan - Panaji via Margao",3
582,ktcl-goa-in,,"Vade Colony - Panaji",3
583,ktcl-goa-in,,"Val - Panaji via Margao",3
589,ktcl-goa-in,,"Velim - Margao via Murida",3
591,ktcl-goa-in,,"Belgaum Bus Stand - Vasco via Sakhali",3
592,ktcl-goa-in,,"Harbour Vasco - Ponda via Loutlim",3
627,ktcl-goa-in,,"Bastora - Panaji via Mapusa",3
671,ktcl-goa-in,,"Rayeshwar College of Engineering - Panaji via Ponda",3
673,ktcl-goa-in,,"Panaji Market - Curchorem - Savordem via Ponda",3
675,ktcl-goa-in,,"Siolim - Panaji",3
686,ktcl-goa-in,,"Mary Immaculate Church - Panaji via Altinho",3
687,ktcl-goa-in,,"Naneli - Panaji via Marcel",3
704,ktcl-goa-in,,"Madel Ferry - Panaji via Mapusa",3
721,ktcl-goa-in,,"Volvoi - Margao via Vagurme",3
730,ktcl-goa-in,,"Siolim Fish Market - Panaji",3
731,ktcl-goa-in,,"Gaune - Ponda",3
732,ktcl-goa-in,,"Gaune - Panaji via Ponda",3
733,ktcl-goa-in,,"Agapur / Agastipur - Ponda",3
739,ktcl-goa-in,,"Tonca - Valpoi via Marcel,Sankhali",3
741,ktcl-goa-in,,"Parcem - Panaji",3
747,ktcl-goa-in,,"Chopdem - Panaji",3
748,ktcl-goa-in,,"Popaidando - Panaji",3
749,ktcl-goa-in,,"Rajbag - Margao",3
750,ktcl-goa-in,,"Mencurem Temple - Panaji",3
752,ktcl-goa-in,,"Bengaluru Majestic Bus Stand - Panaji",3
606,ktcl-goa-in,,"Sada Vasco - Malvan via Malewad",3
608,ktcl-goa-in,,"Sada Vasco - Vengurla via Panjim",3
575,ktcl-goa-in,,"Rajbag - Karwar via Cancona",3
584,ktcl-goa-in,,"Vasco KTC Bus Stop - Muddebihal",3
11,ktcl-goa-in,,"Sada Vasco - Akhada",3
14,ktcl-goa-in,,"Harbour Vasco - Devsu via Chopdem",3
21,ktcl-goa-in,,"Harbour Vasco - Margao City via Zuarinagar",3
52,ktcl-goa-in,,"Valpoi Bazaar - Ustem",3
78,ktcl-goa-in,,"Kala Academy - Nanora via Bicholim",3
86,ktcl-goa-in,,"Panaji Market - Naneli via Marcel,Valpoi",3
87,ktcl-goa-in,,"Kala Academy - Surla via Chorla",3
109,ktcl-goa-in,,"Panaji Market - Camurlim Khairat via Mapusa",3
167,ktcl-goa-in,,"Calangute - Dabolim Airport via Panaji",3
219,ktcl-goa-in,,"Raj Bhavan - Malpon",3
449,ktcl-goa-in,,"Agonda - Cab de Ram via Matimol",3
559,ktcl-goa-in,,"Molkopon - Donbosco via Rivona",3
579,ktcl-goa-in,,"Verna IDC - Cuncoliem via Lotulim",3
593,ktcl-goa-in,,"Harbour Vasco - Goa University Library via Cortalim",3
603,ktcl-goa-in,,"Sada Vasco - Farmagudi via Ponda",3
604,ktcl-goa-in,,"Harbour Vasco - Honnavar via Margao",3
605,ktcl-goa-in,,"Sada Vasco - Korjai",3
607,ktcl-goa-in,,"Harbour Vasco - Rayeshwar College of Engineering via Shiroda",3
628,ktcl-goa-in,,"Panaji Market - Halarna via Kulan",3
629,ktcl-goa-in,,"Panaji Market - Vijaydurga Temple Village Stop via Priyol",3
630,ktcl-goa-in,,"Panaji Market - Ustem via Valpoi",3
706,ktcl-goa-in,,"Madel Ferry - Madel Ferry",3
737,ktcl-goa-in,,"St. Pedro Ferry - Vanxim Island Ferry",3
738,ktcl-goa-in,,"Naroa Island Ferry - Old Goa Ferry",3
744,ktcl-goa-in,,"City Market Stop - City Market Stop",3
