D14608,"The last stop_time in trip D14608 is missing times."
L1245,"Timetravel detected! Arrival time is before previous departure at sequence number 31 in trip L1245"
L1246,"Timetravel detected! Arrival time is before previous departure at sequence number 31 in trip L1246"
L1256,"High speed travel detected in trip L1256: YEDSHI to MURUD. 30715 meters in 900 seconds. (123 km/h)."
L1257,"Timetravel detected! Arrival time is before previous departure at sequence number 24 in trip L1257"
L1258,"Timetravel detected! Arrival time is before previous departure at sequence number 24 in trip L1258"
L1260,"High speed travel detected in trip L1260: NAGPUR to SELU. 350555 meters in 3600 seconds. (351 km/h)."
L1260,"High speed travel detected in trip L1260: SELU to WARDHA. 267846 meters in 2400 seconds. (402 km/h)."
L1261,"High speed travel detected in trip L1261: SELU to NAGPUR. 350555 meters in 4800 seconds. (263 km/h)."
L1261,"High speed travel detected in trip L1261: WARDHA to SELU. 267846 meters in 900 seconds. (1071 km/h)."
L1262,"High speed travel detected in trip L1262: NAGPUR to SELU. 350555 meters in 3600 seconds. (351 km/h)."
L1262,"High speed travel detected in trip L1262: SELU to WARDHA. 267846 meters in 2400 seconds. (402 km/h)."
L1264,"High speed travel detected in trip L1264: NAGPUR to SELU. 350555 meters in 3600 seconds. (351 km/h)."
L1264,"High speed travel detected in trip L1264: SELU to WARDHA. 267846 meters in 2400 seconds. (402 km/h)."
L1266,"High speed travel detected in trip L1266: NAGPUR to SELU. 350555 meters in 3600 seconds. (351 km/h)."
L1266,"High speed travel detected in trip L1266: SELU to WARDHA. 267846 meters in 2700 seconds. (357 km/h)."
L1268,"High speed travel detected in trip L1268: NAGPUR to SELU. 350555 meters in 3600 seconds. (351 km/h)."
L1268,"High speed travel detected in trip L1268: SELU to WARDHA. 267846 meters in 2700 seconds. (357 km/h)."
L1276,"Timetravel detected! Arrival time is before previous departure at sequence number 28 in trip L1276"
L1279,"Timetravel detected! Arrival time is before previous departure at sequence number 30 in trip L1279"
L1279,"Timetravel detected! Arrival time is before previous departure at sequence number 31 in trip L1279"
L1283,"Timetravel detected! Arrival time is before previous departure at sequence number 18 in trip L1283"
L1283,"Timetravel detected! Arrival time is before previous departure at sequence number 22 in trip L1283"
L1283,"Timetravel detected! Arrival time is before previous departure at sequence number 24 in trip L1283"
L1283,"Timetravel detected! Arrival time is before previous departure at sequence number 26 in trip L1283"
L1283,"Timetravel detected! Arrival time is before previous departure at sequence number 30 in trip L1283"
L1283,"Timetravel detected! Arrival time is before previous departure at sequence number 37 in trip L1283"
L1283,"Timetravel detected! Arrival time is before previous departure at sequence number 38 in trip L1283"
L1283,"Timetravel detected! Arrival time is before previous departure at sequence number 41 in trip L1283"
L1284,"Timetravel detected! Arrival time is before previous departure at sequence number 12 in trip L1284"
L1284,"Timetravel detected! Arrival time is before previous departure at sequence number 16 in trip L1284"
L1284,"Timetravel detected! Arrival time is before previous departure at sequence number 18 in trip L1284"
L1284,"Timetravel detected! Arrival time is before previous departure at sequence number 20 in trip L1284"
L1284,"Timetravel detected! Arrival time is before previous departure at sequence number 24 in trip L1284"
L1284,"Timetravel detected! Arrival time is before previous departure at sequence number 26 in trip L1284"
L1284,"Timetravel detected! Arrival time is before previous departure at sequence number 30 in trip L1284"
L1284,"Timetravel detected! Arrival time is before previous departure at sequence number 32 in trip L1284"
L1284,"Timetravel detected! Arrival time is before previous departure at sequence number 33 in trip L1284"
L1284,"Timetravel detected! Arrival time is before previous departure at sequence number 36 in trip L1284"
L1284,"Timetravel detected! Arrival time is before previous departure at sequence number 41 in trip L1284"
L1300,"Timetravel detected! Arrival time is before previous departure at sequence number 17 in trip L1300"
L1300,"Timetravel detected! Arrival time is before previous departure at sequence number 20 in trip L1300"
L1300,"Timetravel detected! Arrival time is before previous departure at sequence number 25 in trip L1300"
L1300,"Timetravel detected! Arrival time is before previous departure at sequence number 4 in trip L1300"
L1300,"Timetravel detected! Arrival time is before previous departure at sequence number 8 in trip L1300"
L1303,"Timetravel detected! Arrival time is before previous departure at sequence number 10 in trip L1303"
L1303,"Timetravel detected! Arrival time is before previous departure at sequence number 12 in trip L1303"
L1303,"Timetravel detected! Arrival time is before previous departure at sequence number 16 in trip L1303"
L1303,"Timetravel detected! Arrival time is before previous departure at sequence number 18 in trip L1303"
L1303,"Timetravel detected! Arrival time is before previous departure at sequence number 22 in trip L1303"
L1303,"Timetravel detected! Arrival time is before previous departure at sequence number 23 in trip L1303"
