stop_name,stop_code,latitude,longitude
DINDORI NAKA,DNDRINK,20.01078,73.79711
DONDE GAON,DNETN,20.076644,73.615112
DONGARGAON FATA,DNGRFT,20.017204,74.695962
DINDORI GAON,DNONN,20.013299,74.154938
DHANORA FATA,DNRAFT,20.07614,74.47044
DHANORE FATA,DNREFT,20.06352,74.47567
DWARKA NASIK ROAD FATA,DNRF,19.99361,73.79576
DANG SAUNDANE,DNSNZ,20.634184,74.043466
DHODAMBA,DOACN,20.355229,74.078984
DHONDGAVAN,DODCN,20.21005,74.01222
DHONDEGAON,DODG,20.07275,73.65993
DONGERGAON,DOER,20.094734,74.719946
DEOTHAN COLONY FATA,DOHAA,19.62631,74.04192
DHOKI FATA,DOISN,19.80818,73.9869
DHONNAR WADI,DONAA,19.64378,74.00031
DEORPADE,DOPMN,20.596045,74.601715
DEOPUR,DOUSN,19.89744,74.16372
DAPUR,DPR,19.75619,74.0545
DHARANGAON,DRADNN,20.05708,74.1812
DARASWADI FATA,DRASHA,20.156435,74.15043
DAREGAON FATA,DREGNM,20.56395,74.55125
DAREGAON,DRGKN,20.40177,73.88255
DWARKA HOTEL,DRHT,20.00655,73.82209
DHULE RLY. STN.,DRS,20.875351,74.773082
DARASWADI,DRSCN,20.24157,74.203448
DASVEL FATA,DSELFT,20.785228,74.132801
DESHMANE,DSHMN,20.0573,74.30348
DESARANA,DSRKN,20.543518,74.006716
DATTA NAGAR,DTAMN,20.4437,74.37746
DATTAMANDIR,DTAMNSN,19.935733,73.936942
DUTTA MANDIR,DTAYN,20.169091,74.47383
DATELI,DTL,19.83974,74.09121
DETALI,DTLISRNK,19.8397,74.09095
DEVI TEMPLE,DTM,19.99821,73.91079
DATANE,DTNE,20.0892,73.96661
DUDHKHEDA,DUDDA,20.34135,73.960024
DUGAON,DUGAON,20.070154,73.683618
DHULGAON,DUGYN,20.076756,74.417621
DHULGAON FATA,DULG,20.051425,74.403191
DHULWAD FATA,DULWIA,19.72674,74.04532
DHUMODI FATA,DUMO,19.966739,73.502547
DUDGAON,DUON,19.981625,73.64928
DEVGAON FATA,DVANNK,20.01991,74.27385
DAVRE MALA,DVESN,19.779702,73.918632
DEVGHAR,DVGR,20.293811,73.629283
DEVTHAN FATA,DVHPN,20.30832,73.71398
DEVALA FATA,DVLAFTM,20.431038,74.363786
DEVAL DARI,DVLSN,20.597357,73.602891
DIV OFFICE,DVOCN,19.99424,73.79747
DEVAR PADA,DVRAMN,20.075267,74.618869
DEVARGAON,DVRCN,20.213931,74.173215
DEVARGAON,DVRGN,20.074086,73.582751
DEVTHAN,DVTHN,20.339215,73.784708
DEVPUR FATA,DVURFT,19.87533,74.18846
DWARAKA,DWAKA,19.99447,73.79736
DNYANA FATA,DYNSN,20.758285,74.270156
DINDORI ZP DISPENSARY,DZD,20.16149,73.82149
ERANDGAON,EADAN,20.380641,74.482419
EKDARA,EDRAA,19.68875,73.80278
ENGG. COLLEGE-CHINCHOLI,EG.SN,19.864873,73.965193
ENGLISHMEDIUM,EGISN,20.596021,74.203165
EAKWAI,EKANN,20.244985,74.505013
EKLHARE FATA,ELANN,19.95343,73.838328
ERANDGAON FATA,ENONFT,20.36163,74.482031
EKLAHRE SINNAR FATA,ESF,19.94768,73.84606
FANASPADA,FSDA,20.149641,73.578602
FOREST DEPOT,FSDP,20.31686,73.8824
GHAGBARI,GABSN,20.41982,73.786321
GADAGA,GADAGA,20.434913,73.543295
GANDOLE,GADLE,20.381049,73.590604
GOLASHI FATA,GAHIFT,20.242454,73.633472
GAIKWAD MALA,GAIA,20.16149,73.82149
GANUR,GANUR,20.264492,74.185447
GOPALPURE NALA,GARENL,20.40436,73.543161
GANESHGAON,GASON,19.998202,73.626198
GAUNDGAON,GAUN,19.999613,74.604034
GAWANDGAON,GAWON,20.010963,74.570797
GHARWAD VILLEGE,GAWSN,19.82049,73.88051
GOBAPUR,GBPR,20.435734,73.954934
GONDEGOAN FATA,GDEGNN,20.0733,74.07259
GADGA FATA,GDGFT,20.433322,73.538371
GHODGAON CHOWK,GDONCK,20.426984,74.493056
GURUDESHWAR,GDWR,19.981649,73.648947
GHULEWADI FATA,GEDIFT,19.60002,74.19164
GHATALBARI,GGAADN,20.396603,73.588074
GANDOLE,GGNODN,20.366184,73.597719
GHODEWADI,GGOESN,19.838374,73.919454
